acronym,program_name,piid,prime_contractor,total_contract_value,obligated,agency,department,clearance,city,state,locations,typical_roles,functional_areas,naics_code,naics_description,psc_code,pop_start,pop_end,bd_score,bd_status,contact_coverage,sub_count,staffing_firms_present,greenfield_type,discovery_strategy,data_sources
P45001,P45001 WEAPONS GENERATION FAC PACKAGE,N6945023C0044,BL HARBERT INTERNATIONAL LLC,269100507.1,267462007.2,Department of the Navy,Department of Defense,,BARKSDALE AFB,LOUISIANA,,,,236220,,Y1AZ,9/12/2023,10/29/2026,39,PROSPECT,GAP,85,,,S4_EXPIRING,DISCOVERY
THREE,THREE NEXT GENERATION SURFACE SEARCH RADAR (SGSSR) QUALIFICATION SYSTEMS AND ASSOCIATED ENGINEERING AND FIELD ENGINEERING SERVICES.,N6339419C0007,ULTRA ELECTRONICS OCEAN SYSTEMS INC.,195638526.8,196214781.7,Department of the Navy,Department of Defense,,BRAINTREE,MASSACHUSETTS,,,,334511,,5840,3/15/2019,9/30/2026,39,PROSPECT,GAP,67,,,S4_EXPIRING,DISCOVERY
BUNDLE,EA BUNDLE,HC108421F0164,WORLD WIDE TECHNOLOGY LLC,192883333.3,192883333.3,Defense Information Systems Agency,Department of Defense,,SAINT LOUIS,MISSOURI,,,,541519,,DA10,6/21/2021,4/23/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
AGM-88E,AGM-88E AARGM ALL UP ROUND (AUR),N0001921C0013,ALLIANT TECHSYSTEMS OPERATIONS LLC,186751692.7,179320440.5,Department of the Navy,Department of Defense,,NORTHRIDGE,CALIFORNIA,,,,336414,,1410,8/3/2021,12/31/2026,39,PROSPECT,GAP,83,,,S4_EXPIRING,DISCOVERY
COMBATING,COMBATING WEAPONS OF MASS DESTRUCTION ANALYSIS AND PLANNING TOOL DEVELOPMENT,HDTRA119F0005,"Applied Research Associates, Inc.",171222201.3,167356694.5,Defense Threat Reduction Agency,Department of Defense,,RALEIGH,NORTH CAROLINA,,,,541712,,AD93,4/4/2019,12/2/2026,39,PROSPECT,GAP,72,,,S4_EXPIRING,DISCOVERY
COMPREHENSIVE,"COMPREHENSIVE EVERGLADES RESTORATION PLAN, INDIAN RIVER LAGOON - SOUTH, C-23/24 STORMWATER TREATMENT AREA ST LUCIE COUNTY, FLORIDA",W912EP21C0023,KIEWIT INFRASTRUCTURE SOUTH CO,155260548.5,155260548.5,Department of the Army,Department of Defense,,FORT PIERCE,FLORIDA,,,,237990,,Y1KA,10/15/2021,5/27/2026,39,PROSPECT,GAP,34,,,S4_EXPIRING,DISCOVERY
CORE,CORE TASK ORDER 4 - OUTCOME BASED SERVICES FOR THE PROGRAM EXECUTIVE OFFICE.,HT003825F0015,BCG FEDERAL CORP.,106663050,105852122,Defense Health Agency,Department of Defense,,ARLINGTON,VIRGINIA,,,,541611,,R499,8/13/2025,7/31/2026,39,PROSPECT,GAP,0,,,S1_BIG_FISH,DISCOVERY
EXPRESS,EXPRESS TASK ORDER AWARD FOR INTEGRATED LOGISTICS SERVICES IN SUPPORT OF THE APACHE ATTACK HELICOPTER PROJECT OFFICE.,W31P4Q19FE002,DIGIFLIGHT INCORPORATED,5287526.15,185121102.2,Department of the Army,Department of Defense,,HUNTSVILLE,ALABAMA,,,,541330,,R499,5/30/2019,7/31/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MANAGEMENT,TAS::89 0222::TAS MANAGEMENT AND OPERATION OF THE THOMAS JEFFERSON NATIONAL ACCELERATOR FACILITY.,DEAC0506OR23177,"JEFFERSON SCIENCE ASSOCIATES, LLC",3945727264,3275823680,,,,NEWPORT NEWS,VIRGINIA,,,,541710,,M181,4/17/2006,5/31/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MANAGEMENT,IGF::OT::IGF MANAGEMENT OF THE OAK RIDGE INSTITUTE FOR SCIENCE AND EDUCATION,DESC0014664,"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",3512632891,3012521835,,,,OAK RIDGE,TENNESSEE,,,,541990,,U099,3/10/2016,9/30/2026,38,PROSPECT,GAP,38,,,S4_EXPIRING,DISCOVERY
EXPRESS,EXPRESS REPORT FOR THE PATIENT CENTERED COMMUNITY CARE (PC3) CONTRACT,36C10G20K0022,TRIWEST HEALTHCARE ALLIANCE CORP,3276610906,3276610906,Department of Veterans Affairs,Department of Veterans Affairs,,PHOENIX,ARIZONA,,,,621111,,Q999,7/1/2020,3/31/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PRIMARY,"THE PRIMARY ACTIVITIES COVERED BY THIS EFFORT INCLUDE THE FINAL SERVICING MISSION AND SUBSEQUENT OPERATIONS THROUGH END-OF-MISSION. THESE ACTIVITIES INCLUDE:
A. SCIENCE PROGRAM IMPLEMENTATION INCLUDING: MISSION PLANNING SUPPORT, SCIENCE PROGRAM DEFINITION SUPPORT, MANAGEMENT OF THE PROPOSAL SELECTION, TIME ALLOCATION, AND GRANT AWARD COMMITTEE PROCESSES, AND SCIENCE COMMUNITY OUTREACH.
B. ROUTINE SCIENCE OPERATIONS INCLUDING: PROPOSAL GENERATION AND RECEIPT, OBSERVATION PLANNING AND SCHEDULING,",GSFC0198106DNAS526555,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",2579386626,2495434245,,,,BALTIMORE,MARYLAND,,,,333314,,AR21,11/15/1994,6/30/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
EXPRESS,EXPRESS REPORT FOR THE PATIENT CENTERED COMMUNITY CARE (PC3) CONTRACT FOR THE OFFICE OF COMMUNITY CARE (OCC).,36C10G20K0021,TRIWEST HEALTHCARE ALLIANCE CORP,1981031881,1981031881,Department of Veterans Affairs,Department of Veterans Affairs,,PHOENIX,ARIZONA,,,,621111,,Q999,4/1/2020,3/31/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
EXPRESS,EXPRESS REPORT FOR THE PATIENT CENTERED COMMUNITY CARE (PC3) CONTRACT FOR THE OFFICE OF COMMUNITY CARE (OCC).,36C10G20K0020,TRIWEST HEALTHCARE ALLIANCE CORP,1908528940,1908528940,Department of Veterans Affairs,Department of Veterans Affairs,,PHOENIX,ARIZONA,,,,621111,,Q999,1/1/2020,3/31/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DAFIS,DAFIS UDO RECONSTRUCT W/O ADVANCE,DTFA0102D03006CALL0001,HARRIS CORPORATION,1698999261,1528395809,,,,MELBOURNE,FLORIDA,,,,517310,,S113,7/25/2008,3/30/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MICROSOFT,VA MICROSOFT ENTERPRISE LICENSE AGREEMENT.,36C10B22F0089,DELL FEDERAL SYSTEMS L.P.,1637215100,1590224178,Department of Veterans Affairs,Department of Veterans Affairs,,ROUND ROCK,TEXAS,,,,511210,,DA01,4/1/2022,3/31/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
T-6,T-6 AIRCRAFT MAINTENANCE,N6134020F0040,DYNCORP INTERNATIONAL LLC,1568652457,909141371.6,Department of the Navy,Department of Defense,,CHANTILLY,VIRGINIA,,,,488190,,J015,2/1/2020,9/30/2027,38,PROSPECT,GAP,342,,,S4_EXPIRING,DISCOVERY
EXPRESS,EXPRESS REPORT FOR 2QTR FY2021 UNDER PC3 CONTRACT,36C10G21K0056,TRIWEST HEALTHCARE ALLIANCE CORP,1402860602,1402860602,Department of Veterans Affairs,Department of Veterans Affairs,,PHOENIX,ARIZONA,,,,621111,,Q999,1/1/2021,3/31/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
EXPRESS,EXPRESS REPORT FOR THE PATIENT CENTERED COMMUNITY CARE (PC3) CONTRACT FOR THE OFFICE OF COMMUNITY CARE (OCC).,36C10G20K0017,TRIWEST HEALTHCARE ALLIANCE CORP,1200591963,1200591963,Department of Veterans Affairs,Department of Veterans Affairs,,PHOENIX,ARIZONA,,,,621111,,Q999,10/1/2019,3/31/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
EXPRESS,EXPRESS REPORT FOR SERVICES FOR THE PATIENT CENTERED COMMUNITY CARE (PC3) CONTRACT FOR THE OFFICE OF COMMUNITY CARE (OCC).,36C10G21K0005,TRIWEST HEALTHCARE ALLIANCE CORP,1153416135,1153416135,Department of Veterans Affairs,Department of Veterans Affairs,,PHOENIX,ARIZONA,,,,621111,,Q999,10/1/2020,3/31/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
AWARD,AWARD NASA SEWP FOR SALESFORCE,36C10B23F0172,"V3GATE, LLC",932824158.6,576889048.7,Department of Veterans Affairs,Department of Veterans Affairs,,COLORADO SPRINGS,COLORADO,,,,541519,,DA10,6/26/2023,6/25/2026,38,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
VISA,VISA SUPPORT SERVICES (VSS) AT THE NATIONAL VISA CENTER (NVC) AND KENTUCKY CONSULAR CENTER (KCC),19AQMM19C0135,LDRM LLC,725218412,500443530.9,Department of State,Department of State,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541513,,M1AZ,9/30/2019,5/31/2026,38,PROSPECT,GAP,4,,,S4_EXPIRING,DISCOVERY
CY24-25,CY24-25 MQ-9 (REAPER) SUPPORT AND SERVICES.,FA857724C0001,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",646404052,646404052,Department of the Air Force,Department of Defense,,POWAY,CALIFORNIA,,,,334511,,R425,1/1/2024,12/31/2027,38,PROSPECT,GAP,180,,,S4_EXPIRING,DISCOVERY
EHRM,EHRM OPERATIONS,36C10B22N0047EHRM,"ORACLE HEALTH GOVERNMENT SERVICES, INC.",582587426.9,468712456.8,Department of Veterans Affairs,Department of Veterans Affairs,,KANSAS CITY,KANSAS,,,,541512,,DA01,5/1/2022,9/14/2026,38,PROSPECT,GAP,68,,,S4_EXPIRING,DISCOVERY
DESIGN,"DESIGN AND BUILD CONSTRUCTION OF NEW OFFICE ANNEX&CHANCERY RENOVATION IN BANGKOK, THAILAND",19AQMM20C0041,BL HARBERT INTERNATIONAL LLC,442441114.5,442260483.7,Department of State,Department of State,,,,,,,236220,,Y1AA,3/17/2020,9/15/2026,38,PROSPECT,GAP,118,,,S4_EXPIRING,DISCOVERY
PROFESSIONAL,PROFESSIONAL SUPPORT SERVICES FOR SEA21,N0016422F3010,SERCO INC,414785440,248135411.8,Department of the Navy,Department of Defense,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541330,,R425,7/29/2022,7/28/2027,38,PROSPECT,GAP,69,,,S4_EXPIRING,DISCOVERY
CARTRIDGE,"IGF::OT::IGF CARTRIDGE, 120MM, ADVANCED MULTI-PURPOSE (AMP), XM1147, HIGH EXPLOSIVE MULTI-PURPOSE WITH TRACER (HEMP-T)",W15QKN15C0066,ALLIANT TECHSYSTEMS OPERATIONS LLC,364963207.7,223619804.4,Department of the Army,Department of Defense,,MINNEAPOLIS,MINNESOTA,,,,332993,,AD14,7/28/2015,7/8/2027,38,PROSPECT,GAP,191,,,S4_EXPIRING,DISCOVERY
DESIGN,"DESIGN AND CONSTRUCTION SERVICES FOR NEW EMBASSY COMPOUND IN PORT LOUIS, MAURITIUS.",19AQMM22C0145,BL HARBERT INTERNATIONAL LLC,226713759,226713759,Department of State,Department of State,,,,,,,236220,,Y1AA,11/1/2022,11/27/2026,38,PROSPECT,GAP,102,,,S4_EXPIRING,DISCOVERY
PROJECT,THE PROJECT CONSISTS OF TWO PHASES: 1) PRE-CONSTRUCTION SERVICES CONTAINED IN THE BASE CONTRACT; AND 2) CONSTRUCTION SERVICES CONTAINED IN TWO OPTIONS. THE PROJECT WILL CONSIST OF SPANNING THE ACTIVE PRETTY ROCKS LANDSLIDE WITH AN APPROXIMATELY 475-F,69056723C000008,GRANITE CONSTRUCTION COMPANY,213984157.4,213984157.4,Federal Highway Administration,Department of Transportation,,DENALI NATIONAL PARK,ALASKA,,,,237310,,Y1LB,1/4/2023,7/6/2026,38,PROSPECT,GAP,74,,,S4_EXPIRING,DISCOVERY
DEVELOPMENT,DEVELOPMENT CORPS STS3,47QFPA21F0018,AXIENT LLC,208936727,176635099.7,Federal Acquisition Service,General Services Administration,,EL SEGUNDO,CALIFORNIA,,,,541712,,R425,3/29/2021,9/28/2026,38,PROSPECT,GAP,114,,,S4_EXPIRING,DISCOVERY
LIFE,"IGF::CT::IGF   LIFE SUPPORT SERVICES AT BAGHDAD DIPLOMATIC SUPPORT CENTER,IRAQ.",SAQMMA14F1020,"PAE GOVERNMENT SERVICES, INC.",195920066.6,167023164.1,,,,,,,,,561210,,S216,4/1/2014,3/31/2026,38,PROSPECT,GAP,68,,,S4_EXPIRING,DISCOVERY
MIST,"THE MIST II CONTRACT WILL PROVIDE MULTIDISCIPLINARY ENGINEERING TASK ORDERS FOR THE FORMULATION, DESIGN, DEVELOPMENT, FABRICATION, INTEGRATION, TESTING, VERIFICATION, AND OPERATIONS OF SPACE FLIGHT AND GROUND SYSTEM HARDWARE AND SOFTWARE.",80GSFC21CA007,"AERODYNE-SGT ENGINEERING SERVICES, LLC",531000000,383518933.6,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,GREENBELT,MARYLAND,,,,541715,,R425,9/14/2022,9/13/2027,37,PROSPECT,GAP,627,,,S4_EXPIRING,DISCOVERY
PECOS,"IGF::OT::IGF PECOS IS THE SYSTEM UTILIZED BY CMS TO COLLECT, MANAGE AND MAINTAIN MEDICARE ENROLLMENT.",HHSM500201600006U,CGI FEDERAL INC.,264256333.7,261858878.8,,,,FAIRFAX,VIRGINIA,,,,541512,,D302,2/1/2016,2/28/2027,37,PROSPECT,GAP,122,,,S4_EXPIRING,DISCOVERY
CONTRACT,CONTRACT W56HZV-23-C-0081 IS ISSUED AS AN ADDITIONAL CONTINUATION CONTRACT FOR JLTV PRODUCTION WITH OSK UNDER W56HZV-15-C-0095. THIS ACTION ALSO FUNDS A LEGACY JLTV ASL BUY.,W56HZV23C0081,OSHKOSH DEFENSE LLC,9802057934,560467040.5,Department of the Army,Department of Defense,,OSHKOSH,WISCONSIN,,,,336992,,2355,9/15/2023,9/25/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
SIB,US SIB SUB SUPPLIER DEVELOPMENT SUPPORT,N0002424C2135,BLUEFORGE ALLIANCE,1150744520,923094823,Department of the Navy,Department of Defense,,BRYAN,TEXAS,,,,336611,,1905,9/10/2024,9/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MANAGEMENT,MANAGEMENT AND OPERATION OF USMC GARRISON MESS HALLS,M9549418C0016,SODEXO MANAGEMENT INC.,1006207434,843024832.6,Department of the Navy,Department of Defense,,WASHINGTON,DISTRICT OF COLUMBIA,,,,722310,,M1FD,10/1/2018,9/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MANAGEMENT,MANAGEMENT AND OPERATION OF USMC GARRISION MESS HALLS,M9549418C0018,SODEXO MANAGEMENT INC.,970907533.5,820767902.8,Department of the Navy,Department of Defense,,CAMP LEJEUNE,NORTH CAROLINA,,,,722310,,M1FD,10/1/2018,9/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FLIGHT,"FLIGHT OPERATIONS SUPPORT, 71ST FLYING TRAINING WING, VANCE AFB, OK",FA300221F0119,DYNCORP INTERNATIONAL LLC,957848237.6,270697556.4,Department of the Air Force,Department of Defense,,ENID,OKLAHOMA,,,,488190,,J015,8/1/2021,1/31/2027,36,PROSPECT,GAP,38,,,S4_EXPIRING,DISCOVERY
MQ-9,MQ-9 REAPER CONTRACTOR LOGISTICS SUPPORT AND SERVICES,FA857722C0001,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",875590268.4,584786924.4,Department of the Air Force,Department of Defense,,POWAY,CALIFORNIA,,,,334511,,R425,1/1/2022,9/1/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
TRAINING,"TRAINING SYSTEM ACQUISITIONS III TASK ORDER, C-5 AIR CREW TRAINING SYSTEM.",FA862117F6255,CYMSTAR LLC,713483023.7,269699361.1,Department of the Air Force,Department of Defense,,BROKEN ARROW,OKLAHOMA,,,,336413,,J069,9/11/2017,4/30/2026,36,PROSPECT,GAP,6,,,S4_EXPIRING,DISCOVERY
PRICED,"PRICED DELIVERY ORDER OFF OF BASE CONTRACT, W56HZV-23-D-0008.",W912CH24F0207,AM GENERAL LLC,689345431.3,689345431.3,Department of the Army,Department of Defense,,SOUTH BEND,INDIANA,,,,336212,,2320,7/31/2024,12/31/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
AIRTIME,AIRTIME SERVICES,HC101319C0006,IRIDIUM GOVERNMENT SERVICES LLC,683250000,655625000,Defense Information Systems Agency,Department of Defense,,TEMPE,ARIZONA,,,,517410,,D399,9/15/2019,9/14/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FALCON,FALCON 5/F-15 BED DOWN PROGRAM STATE OF QATAR,W912ER20C0010,BAH - ICM JV,658621930.4,658221655.1,Department of the Army,Department of Defense,,,,,,,236220,,Y1JZ,5/22/2020,11/5/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PROCURE,PROCURE 131 HMMWV,W56HZV21F0298,AM GENERAL LLC,602795246.1,269965370.8,Department of the Army,Department of Defense,,SOUTH BEND,INDIANA,,,,336992,,2320,7/21/2021,5/1/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
J-032,"J-032 BACHELOR ENLISTED QUARTERS (BEQ) E, J-036 BEQ C, J-038 BEQ J, J-039 BEQ K, AND J-037 BEQ G MARINE CORPS BASE GUAM, FINEGAYAN, GUAM",N6274221C1342,CORE TECH-HDCC-KAJIMA LLC,589674721.4,574657321.4,Department of the Navy,Department of Defense,,YIGO,GUAM,,,,236116,,Y1FC,8/26/2021,9/9/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
ATEC,ATEC SERVICES,W9115119C0008,SOUTHWEST RANGE SERVICES LLC,547731980.3,418478780.7,Department of the Army,Department of Defense,,WHITE SANDS MISSILE RANGE,NEW MEXICO,,,,541330,,R425,9/1/2019,8/31/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
GRENADE,40MM GRENADE FAMILY SYSTEMS FOR FY10-14.,W52P1J10C0013,AMTEC CORPORATION,524331170.3,542531120.7,Department of the Army,Department of Defense,,JANESVILLE,WISCONSIN,,,,332993,,1310,2/18/2010,9/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
KC-46,KC-46 AIRCREW TRAINING SYSTEM (ATS),FA862113C6247,FLIGHTSAFETY DEFENSE CORPORATION,517430996.6,540497403.2,Department of the Air Force,Department of Defense,,FORT WORTH,TEXAS,,,,336413,,6930,5/1/2013,12/31/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
NELLIS,NELLIS AIRCRAFT MAINTENANCE AND SUPPORT SERVICES,FA489021C0002,"M1 SUPPORT SERVICES, L.P.",457605714.2,434812387.6,Department of the Air Force,Department of Defense,,NELLIS AFB,NEVADA,,,,488190,,J015,1/25/2021,6/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PRATT,PRATT & WHITNEY NGAP PROTOTYPING,FA862623F0004,RTX CORPORATION,388804627.7,373845353.7,Department of the Air Force,Department of Defense,,EAST HARTFORD,CONNECTICUT,,,,336412,,AC15,1/26/2023,6/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
TYNDALL,TYNDALL AIR FORCE BASE SITE DEVELOPMENT AND INFRASTRUCTURE PHASE I & II,W9127822C0017,The Lane Construction Corporation,363124785.7,362626171.2,Department of the Army,Department of Defense,,TYNDALL AFB,FLORIDA,,,,237990,,Y1JZ,5/2/2022,6/25/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
F-35,F-35 BLOCK 4 PROPULSION DEVELOPMENT FLIGHT TEST SUPPORT,N0001919C0007,RTX CORPORATION,342288727,247614708.9,Department of the Navy,Department of Defense,,EAST HARTFORD,CONNECTICUT,,,,336412,,2840,10/16/2018,12/31/2026,36,PROSPECT,GAP,22,,,S4_EXPIRING,DISCOVERY
CONTRACTOR,CONTRACTOR OPERATED AND MAINTAINED BASE SUPPLY (COMBS III),FA810625F7503,"JPATS LOGISTICS SERVICES, LLC",320600645.8,256308608.8,Department of the Air Force,Department of Defense,,CAPE CANAVERAL,FLORIDA,,,,488190,,J016,12/11/2024,6/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
SOFA,"IGF::OT::IGF SOFA SHIELD 5, QATAR",W912ER18C0004,MIDMAC CONTRACTING COMPANY W.L.L,313867513.2,312657562.2,Department of the Army,Department of Defense,,,,,,,236220,,Y1JZ,11/16/2017,4/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
PKH-MCCRAY-,PKH-MCCRAY-MATTIS-PUBLICLY AVAILABLE INFORMATION DEPARTMENT OF DEFENSE ENTERPRISE LICENSE SUBSCRIPTION (PADELS),FA701421C0024,"DATAMINR, INC.",282483348,282483348,Department of the Air Force,Department of Defense,,NEW YORK,NEW YORK,,,,518210,,DA10,6/26/2021,6/25/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
MQ9,MQ9 CAT/CWD AWARD,FA489019C0003,"CREW TRAINING INTERNATIONAL, INC",281039702.2,280022475.7,Department of the Air Force,Department of Defense,,HOLLOMAN AFB,NEW MEXICO,,,,611512,,U009,11/7/2018,6/30/2026,36,PROSPECT,GAP,3,,,S4_EXPIRING,DISCOVERY
TECHNICAL,TECHNICAL MANAGEMENT AND ADVISORY SERVICES (TMAS 2) AEDC,FA248622FA006,"CQ JV, LLC",278427647.4,181312160,Department of the Air Force,Department of Defense,,EGLIN AFB,FLORIDA,,,,541715,,R425,10/1/2022,9/30/2026,36,PROSPECT,GAP,5,,,S4_EXPIRING,DISCOVERY
PERSONA,"PERSONA 5 (8/4 MONTH TERM). THE NAICS CODE FOR THIS ORDER IS 513210 FOR SOFTWARE LICENSES, AS REFLECTED IN MODIFICATION P00005 OF N66001-21-A-0083.",N0003925F7807,DELL MARKETING L.P.,272176359,181450906,Department of the Navy,Department of Defense,,ROUND ROCK,TEXAS,,,,511210,,7.00E+20,6/1/2025,5/31/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
USS,USS KIDD (DDG 100) FY25 DEPOT MODERNIZATION PERIOD,N0002425C4402,VIGOR MARINE LLC,271770149,172195245,Department of the Navy,Department of Defense,,SEATTLE,WASHINGTON,,,,336611,,J999,10/25/2024,8/3/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
CANANDAIGUA,"VA CANANDAIGUA, PHASE II - BASE PROPOSAL",W912QR20C0001,HBP JOINT VENTURE,270399187,270289807,Department of the Army,Department of Defense,,CANANDAIGUA,NEW YORK,,,,236220,,Y1DB,10/23/2019,7/11/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DEPOT,DEPOT ACTIVATION SHARED NRS - COMMON,N0001923C0056,RTX CORPORATION,241309913,241309913,Department of the Navy,Department of Defense,,EAST HARTFORD,CONNECTICUT,,,,336412,,2840,9/8/2023,9/30/2026,36,PROSPECT,GAP,14,,,S4_EXPIRING,DISCOVERY
LOGISTICS,LOGISTICS CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR PACOM SETTING THE THEATER SERVICES.,W52P1J19F0371,VECTRUS SYSTEMS LLC,240355055.7,242568543,Department of the Army,Department of Defense,,,,,,,561210,,R706,4/12/2019,5/2/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
ENGINEERING,ENGINEERING AND LOGISTICS CONTRACTOR SUPPORT SERVICES IN SUPPORT OF PEO DIGITAL.,N0003922F3001,FALCONWOOD,236077928.8,167765085.4,Department of the Navy,Department of Defense,,ARLINGTON,VIRGINIA,,,,541330,,R425,12/10/2021,12/9/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
UKRAINE,UKRAINE: UNDEFINITIZED CONTRACT ACTION (UCA) DELIVERY ORDER IS FOR THE MACS M231/M232-SERIES (M232A2) COMBUSTIBLE CASE ASSEMBLIES AND PRODUCTION ACCELERATION/RAMP UP COSTS.,W15QKN23F0614,ARMTEC DEFENSE PRODUCTS CO.,234319624.6,234319624.6,Department of the Army,Department of Defense,,COACHELLA,CALIFORNIA,,,,332993,,1320,9/25/2023,6/30/2026,36,PROSPECT,GAP,9,,,S4_EXPIRING,DISCOVERY
B-1,B-1 TRAINING SYSTEM (TS),FA862118F6261,"AERO SIMULATION, INC.",232136683.5,213279770.7,Department of the Air Force,Department of Defense,,TAMPA,FLORIDA,,,,336413,,J069,9/25/2018,6/30/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
INSTITUTE,"INSTITUTE FOR DEFENSE ANALYSIS, FEDERALLY FUNDED RESEARCH AND DEVELOPMENT CENTER IS TO PROVIDE RESEARCH AND ANALYSIS SUPPORT SERVICES",HQ003424F0002,INSTITUTE FOR DEFENSE ANALYSES,221293422.2,221181422.2,Washington Headquarters Services,Department of Defense,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541990,,B541,10/31/2023,9/30/2026,36,PROSPECT,GAP,21,,,S4_EXPIRING,DISCOVERY
PARKING,PARKING STRUCTURE FUNDED,W912DS21C0002,DOBCO INC,219704779.3,205804779.3,Department of the Army,Department of Defense,,WEST POINT,NEW YORK,,,,236220,,Y1CZ,12/4/2020,3/22/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
DESIGN-BUILD,"DESIGN-BUILD PROJECTS P-1917 CAST PROPELLANT MIX FACILITY, P-1920 WARHEAD CASING OPERATIONS FACILITY, P-1921 MOTOR ASSEMBLY COMPOUND, NAVAL AIR WEAPONS STATION (NAWS) CHINA LAKE, RIDGECREST, CA",N6247321F4727,"WHITING-TURNER CONTRACTING COMPANY, THE",210833038,210833038,Department of the Navy,Department of Defense,,RIDGECREST,CALIFORNIA,,,,236220,,Y1DB,9/16/2021,6/25/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
TDS,TDS SITE OPERATION & MAINTENANCE AND PRIVATE PROPERTY DEBRIS REMOVAL (PPDR).,W9128A24C0017,ECC CONSTRUCTORS LLC,210389514,210049880.4,Department of the Army,Department of Defense,,LAHAINA,HAWAII,,,,562211,,F999,9/1/2024,3/31/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
AUTOMATED,AUTOMATED TEST ANALYSIS,N0002421C5100,"INNOVATIVE DEFENSE TECHNOLOGIES, LLC",209931284.1,174894418.1,Department of the Navy,Department of Defense,,ARLINGTON,VIRGINIA,,,,541715,,AC12,11/25/2020,11/25/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
N105C,N105C / PM4 D. POWER MSV 2 CHARTER HIRE,N3220521C4019,"U.S. MARINE MANAGEMENT, LLC",209203696,202703696,Department of the Navy,Department of Defense,,NORFOLK,VIRGINIA,,,,483111,,V124,4/15/2021,3/14/2026,36,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
